"Name","truth","response","condition"
"Methanocaldococcus vulcanius",80,85.770004327238,"mean_ogt"
"Methanocella arvoryzae",45,34.3240768212373,"mean_ogt"
"Methanocella conradii",52.5,42.5581642558976,"mean_ogt"
"Methanococcoides methylutens",32.5,37.1822519397155,"mean_ogt"
"Methanococcus aeolicus",46,44.7806621028503,"mean_ogt"
"Methanococcus maripaludis",85,52.5283246821656,"mean_ogt"
"Methanocorpusculum aggregans",35,36.0785569115655,"mean_ogt"
"Methanocorpusculum labreanum",37,35.0628463367976,"mean_ogt"
"Methanocorpusculum parvum",37,35.0113192023835,"mean_ogt"
"Methanoculleus bourgensis",37,36.9723899118635,"mean_ogt"
"Methanoculleus chikugoensis",25,30.8351490019238,"mean_ogt"
"Methanoculleus horonobensis",39.5,30.7826570089758,"mean_ogt"
"Methanoculleus marisnigri",22.5,31.7370696542083,"mean_ogt"
"Methanoculleus thermophilus",55,34.8325218596237,"mean_ogt"
"Methanofollis ethanolicus",37,34.1572362434749,"mean_ogt"
"Methanohalophilus levihalophilus",35,34.7001386711331,"mean_ogt"
"Methanohalophilus portucalensis",40,32.8064369111036,"mean_ogt"
"Methanolacinia paynteri",40,33.1132172346212,"mean_ogt"
"Methanolinea mesophila",37,36.6608205738585,"mean_ogt"
"Methanolinea tarda",50,36.9496041838518,"mean_ogt"
"Methanolobus bombayensis",37,35.2216127328216,"mean_ogt"
"Methanolobus profundi",30,35.2507389944772,"mean_ogt"
"Methanolobus psychrophilus",18,39.2195516407114,"mean_ogt"
"Methanolobus taylorii",33,34.1445813690816,"mean_ogt"
"Methanolobus vulcani",40,36.6083266402284,"mean_ogt"
"Methanolobus zinderi",45,33.474034364338,"mean_ogt"
"Methanomethylovorans hollandica",35.5,39.9360584799901,"mean_ogt"
"Methanomethylovorans thermophila",50,33.9671396981607,"mean_ogt"
"Methanopyrus kandleri",98,78.3996539597327,"mean_ogt"
"Methanoregula boonei",36,34.5862977031395,"mean_ogt"
"Methanoregula formicica",31.5,35.4440260236194,"mean_ogt"
"Methanosaeta pelagica",30,33.1010505177471,"mean_ogt"
"Methanosalsum zhilinae",45,38.5645136093501,"mean_ogt"
"Methanosarcina baltica",21,34.2676914402621,"mean_ogt"
"Methanosarcina barkeri",35,35.5253822103674,"mean_ogt"
"Methanosarcina horonobensis",37,30.3596735564907,"mean_ogt"
"Methanosarcina lacustris",25,36.3358171209641,"mean_ogt"
"Methanosarcina siciliae",40,38.2926101532283,"mean_ogt"
